DATE,USD to JPY,USD to EUR,USD to GBP
1999-06-07,0.00824334350012365,1.0296,1.601
1999-06-08,0.008341675008341676,1.0438,1.605
1999-06-09,0.008389261744966443,1.045,1.6001
1999-06-10,0.008413967185527976,1.0477,1.6002
1999-06-11,0.008464533604198408,1.0516,1.6085
1999-06-14,0.00830564784053156,1.0416,1.6075
1999-06-15,0.008289811821271658,1.042,1.595
1999-06-16,0.008331250520703158,1.0298,1.5862
1999-06-17,0.008370302167908262,1.0329,1.5925
1999-06-18,0.008300132802124834,1.0368,1.5924
1999-06-21,0.008177952240758913,1.0323,1.589
1999-06-22,0.00821827744904668,1.0323,1.5895
1999-06-23,0.00819336337566571,1.0316,1.5787
1999-06-24,0.008208158909956497,1.0372,1.5833
1999-06-25,0.008245382585751979,1.0448,1.5893
1999-06-28,0.008244023083264633,1.0373,1.5822
1999-06-29,0.00827746047512623,1.0337,1.5781
1999-06-30,0.00826856292376385,1.031,1.5765
1999-07-01,0.008265145879824779,1.0236,1.5765
1999-07-02,0.00825559316436886,1.0244,1.5792
1999-07-05,,,
1999-07-06,0.008200754469411186,1.0249,1.5688
1999-07-07,0.008183975775431705,1.0224,1.5602
1999-07-08,0.008158603247124092,1.0198,1.5577
1999-07-09,0.008171937566396992,1.0186,1.5515
1999-07-12,0.008181966944853543,1.0139,1.5558
1999-07-13,0.008238589553468446,1.0176,1.5566
1999-07-14,0.00829324929507381,1.0215,1.5635
1999-07-15,0.008299443937256205,1.022,1.5665
1999-07-16,0.008265829062654984,1.0203,1.5622
1999-07-19,0.008390669575432119,1.0203,1.563
1999-07-20,0.008407600470825626,1.042,1.57
1999-07-21,0.008456659619450317,1.0526,1.5766
1999-07-22,0.008527330092947899,1.0509,1.5835
1999-07-23,0.008582954252853832,1.0497,1.578
1999-07-26,0.008571918395336877,1.0651,1.5905
1999-07-27,0.008603630732168976,1.0627,1.5895
1999-07-28,0.008608074373762589,1.0644,1.5935
1999-07-29,0.008681309141418526,1.0719,1.613
1999-07-30,0.008718395815170008,1.0694,1.6207
1999-08-02,0.008732861758798357,1.0661,1.6145
1999-08-03,0.008688097306689836,1.068,1.6185
1999-08-04,0.008756567425569177,1.0766,1.62
1999-08-05,0.008773469029654325,1.0793,1.6198
1999-08-06,0.008726003490401396,1.077,1.6147
1999-08-09,0.008667764583513912,1.0694,1.6
1999-08-10,0.008738203425375743,1.0752,1.618
1999-08-11,0.008688097306689836,1.066,1.6107
1999-08-12,0.008638562543192813,1.0636,1.609
1999-08-13,0.008646031471554556,1.0568,1.6057
1999-08-16,0.00870852564660803,1.0557,1.6011
1999-08-17,0.008758101243650377,1.0525,1.6036
1999-08-18,0.008904719501335707,1.0505,1.6004
1999-08-19,0.008997660608241857,1.0643,1.618
1999-08-20,0.008973438621679828,1.0654,1.6133
1999-08-23,0.008950147677436678,1.0553,1.6076
1999-08-24,0.008966197435667534,1.0506,1.5946
1999-08-25,0.008994423457456376,1.0461,1.5865
1999-08-26,0.008942144326209425,1.0441,1.5876
1999-08-27,0.008954154727793696,1.046,1.5885
1999-08-30,0.008998470260055791,1.0445,1.5875
1999-08-31,0.009149130832570906,1.0581,1.6086
1999-09-01,0.009144947416552356,1.0582,1.6023
1999-09-02,0.009154155986818015,1.0689,1.6091
1999-09-03,0.009083477155054955,1.0605,1.6028
1999-09-06,,,
1999-09-07,0.009015506671474936,1.0581,1.6057
1999-09-08,0.00900982070456798,1.059,1.6185
1999-09-09,0.009259259259259259,1.0543,1.6332
1999-09-10,0.009174311926605505,1.0402,1.6183
1999-09-13,0.009417082587814296,1.04,1.609
1999-09-14,0.009493971328206589,1.0408,1.6085
1999-09-15,0.009635767970707265,1.0385,1.611
1999-09-16,0.009514747859181731,1.0418,1.625
1999-09-17,0.009351037965214139,1.0399,1.6222
1999-09-20,0.009396729937981583,1.0408,1.623
1999-09-21,0.009537434430138294,1.046,1.631
1999-09-22,0.009612611746611554,1.05,1.6363
1999-09-23,0.00959877135726627,1.0415,1.6375
1999-09-24,0.009602458229306703,1.0466,1.6428
1999-09-27,0.009427736400490242,1.0431,1.6455
1999-09-28,0.00942151874882231,1.0509,1.6485
1999-09-29,0.009363295880149813,1.0613,1.6425
1999-09-30,0.009361542782250515,1.0643,1.6457
1999-10-01,0.00951655881233346,1.0718,1.655
1999-10-04,0.009402914903620123,1.0703,1.6555
1999-10-05,0.009349289454001496,1.0693,1.6525
1999-10-06,0.009298865538404314,1.0704,1.656
1999-10-07,0.009287638153617534,1.0721,1.652
1999-10-08,0.009312721177127958,1.063,1.652
1999-10-11,,,
1999-10-12,0.00940910801656003,1.0737,1.6535
1999-10-13,0.009306654257794323,1.0758,1.6532
1999-10-14,0.009349289454001496,1.0799,1.6575
1999-10-15,0.009484966328369534,1.0887,1.6684
1999-10-18,0.009530162965786714,1.0863,1.672
