DATE,SPX_Adj_Close,SPX_Volume,DowJonesClose,GDPC1,GFDEBTN,M2SL,MEDCPIM158SFRBCLE,NASDAQ_Close,NETFI,PCECTPI,DEXUSUK,DEXUSJP,DEXUSEU
1999-01-04,,877000000,,,,,1.740410613,,,,,,
1999-01-05,16.680053000000044,775000000,126.92000000000007,0.0,0.0,0.0,1.740410613,43.2199999999998,0.0,0.0,-0.0014999999999998348,8.022100000000011e-05,-0.0052000000000000934
1999-01-06,27.55993699999999,986900000,233.77999999999884,0.0,0.0,0.0,1.740410613,69.59000000000015,0.0,0.0,-0.0019000000000000128,-0.00013003100000000094,-0.012399999999999967
1999-01-07,-2.6099859999999353,863000000,-7.209999999999127,0.0,0.0,0.0,1.740410613,5.230000000000018,0.0,0.0,-0.0052000000000000934,8.653300000000148e-05,0.0036000000000000476
1999-01-08,5.359985999999935,937800000,105.55999999999949,0.0,0.0,0.0,1.740410613,18.31999999999971,0.0,0.0,-0.008999999999999897,1.3647999999999785e-05,-0.011800000000000033
1999-01-11,-11.209961000000021,818000000,-23.43000000000029,0.0,0.0,0.0,1.740410613,40.18000000000029,0.0,0.0,-0.0030000000000001137,0.00022164199999999933,-0.0020000000000000018
1999-01-12,-24.369995000000017,800200000,-145.20999999999913,0.0,0.0,0.0,1.740410613,-63.840000000000146,0.0,0.0,-0.006699999999999928,-0.00026564800000000027,0.0014000000000000679
1999-01-13,-5.109985999999935,931500000,-125.1200000000008,0.0,0.0,0.0,1.740410613,-3.9400000000000546,0.0,0.0,0.01849999999999996,-0.00010931599999999993,0.014999999999999902
1999-01-14,-22.21008299999994,797200000,-228.6299999999992,0.0,0.0,0.0,1.740410613,-39.98999999999978,0.0,0.0,0.0037000000000000366,1.634300000000026e-05,-0.0008999999999999009
1999-01-15,31.070068999999876,798100000,219.61999999999898,0.0,0.0,0.0,1.740410613,71.37999999999965,0.0,0.0,-0.0030000000000001137,-7.268799999999957e-05,-0.009800000000000031
1999-01-18,4.369995000000017,791800000,7.335000000000946,0.0,0.0,0.0,1.740410613,29.985000000000127,0.0,0.0,0.0025000000000001688,1.6551000000000066e-05,0.0009500000000000064
1999-01-19,4.369995000000017,785500000,7.334999999999127,0.0,0.0,0.0,1.740410613,29.985000000000127,0.0,0.0,0.0024999999999999467,1.6551000000000066e-05,0.0009500000000000064
1999-01-20,4.619995000000017,905700000,-19.30999999999949,0.0,0.0,0.0,1.740410613,7.319999999999709,0.0,0.0,-0.008299999999999974,2.4019999999999597e-05,-0.0035000000000000586
1999-01-21,-21.45996100000002,871800000,-71.82999999999993,0.0,0.0,0.0,1.740410613,-70.76999999999998,0.0,0.0,0.004899999999999904,-2.3247000000000545e-05,0.00019999999999997797
1999-01-22,-9.970092999999906,785900000,-143.40999999999985,0.0,0.0,0.0,1.740410613,-5.839999999999691,0.0,0.0,0.0043999999999999595,-6.901099999999903e-05,0.0004999999999999449
1999-01-25,8.790038999999979,723900000,82.64999999999964,0.0,0.0,0.0,1.740410613,30.429999999999836,0.0,0.0,0.000300000000000189,6.514799999999925e-05,-0.0015999999999998238
1999-01-26,18.33007899999984,896400000,121.26000000000022,0.0,0.0,0.0,1.740410613,64.09999999999991,0.0,0.0,0.0021999999999999797,-1.7724000000000212e-05,0.0010999999999998789
