DATE,SPX_Adj_Close,SPX_Volume, DowJonesClose,GDPC1,GFDEBTN,M2SL,MEDCPIM158SFRBCLE,NASDAQ_Close,NETFI,PCECTPI,DEXUSUK,DEXUSJP,DEXUSEU
1/4/1999,1228.099976,877000000,9184.27,13426.748,5638780,4425.3,1.740410613,2208.05,-262.217,71.796,1.6581,0.00891663,1.1812
1/5/1999,1244.780029,775000000,9311.19,13426.748,5638780,4425.3,1.740410613,2251.27,-262.217,71.796,1.6566,0.008996851,1.176
1/6/1999,1272.339966,986900000,9544.97,13426.748,5638780,4425.3,1.740410613,2320.86,-262.217,71.796,1.6547,0.00886682,1.1636
1/7/1999,1269.72998,863000000,9537.76,13426.748,5638780,4425.3,1.740410613,2326.09,-262.217,71.796,1.6495,0.008953353,1.1672
1/8/1999,1275.089966,937800000,9643.32,13426.748,5638780,4425.3,1.740410613,2344.41,-262.217,71.796,1.6405,0.008967001,1.1554
1/11/1999,1263.880005,818000000,9619.89,13426.748,5638780,4425.3,1.740410613,2384.59,-262.217,71.796,1.6375,0.009188643,1.1534
1/12/1999,1239.51001,800200000,9474.68,13426.748,5638780,4425.3,1.740410613,2320.75,-262.217,71.796,1.6308,0.008922995,1.1548
1/13/1999,1234.400024,931500000,9349.56,13426.748,5638780,4425.3,1.740410613,2316.81,-262.217,71.796,1.6493,0.008813679,1.1698
1/14/1999,1212.189941,797200000,9120.93,13426.748,5638780,4425.3,1.740410613,2276.82,-262.217,71.796,1.653,0.008830022,1.1689
1/15/1999,1243.26001,798100000,9340.55,13426.748,5638780,4425.3,1.740410613,2348.2,-262.217,71.796,1.65,0.008757334,1.1591
1/18/1999,1247.630005,791800000,9347.885,13426.748,5638780,4425.3,1.740410613,2378.185,-262.217,71.796,1.6525,0.008773885,1.16005
1/19/1999,1252,785500000,9355.22,13426.748,5638780,4425.3,1.740410613,2408.17,-262.217,71.796,1.655,0.008790436,1.161
1/20/1999,1256.619995,905700000,9335.91,13426.748,5638780,4425.3,1.740410613,2415.49,-262.217,71.796,1.6467,0.008814456,1.1575
1/21/1999,1235.160034,871800000,9264.08,13426.748,5638780,4425.3,1.740410613,2344.72,-262.217,71.796,1.6516,0.008791209,1.1577
1/22/1999,1225.189941,785900000,9120.67,13426.748,5638780,4425.3,1.740410613,2338.88,-262.217,71.796,1.656,0.008722198,1.1582
1/25/1999,1233.97998,723900000,9203.32,13426.748,5638780,4425.3,1.740410613,2369.31,-262.217,71.796,1.6563,0.008787346,1.1566
1/26/1999,1252.310059,896400000,9324.58,13426.748,5638780,4425.3,1.740410613,2433.41,-262.217,71.796,1.6585,0.008769622,1.1577
1/27/1999,1243.170044,893800000,9200.23,13426.748,5638780,4425.3,1.740410613,2407.14,-262.217,71.796,1.6485,0.008649023,1.1481
1/28/1999,1265.369995,848800000,9281.33,13426.748,5638780,4425.3,1.740410613,2477.34,-262.217,71.796,1.647,0.008594019,1.1395
1/29/1999,1279.640015,917000000,9358.83,13426.748,5638780,4425.3,1.740410613,2505.89,-262.217,71.796,1.6457,0.00862069,1.1371
2/1/1999,1273,799400000,9345.7,13426.748,5638780,4425.3,1.740410613,2510.09,-262.217,71.796,1.641,0.008688852,1.1303
2/2/1999,1261.98999,845500000,9274.12,13426.748,5638780,4425.64,1.745521122,2463.42,-262.217,71.796,1.643,0.008919015,1.1328
2/3/1999,1272.069946,876500000,9366.81,13426.748,5638780,4425.98,1.750631632,2493.41,-262.217,71.796,1.6375,0.008892051,1.1339
2/4/1999,1248.48999,854400000,9304.5,13426.748,5638780,4426.32,1.755742141,2410.07,-262.217,71.796,1.6395,0.00892618,1.1306
2/5/1999,1239.400024,872000000,9304.24,13426.748,5638780,4426.66,1.76085265,2373.62,-262.217,71.796,1.637,0.008838607,1.1283
2/8/1999,1243.77002,705400000,9291.11,13426.748,5638780,4427,1.76596316,2404.92,-262.217,71.796,1.638,0.008742787,1.1296
