DATE,USD to JPY,USD to EUR,USD to GBP,Close_SP,Adj Close_SP,Volume_SP,NASDAQCOM,Close_DJ
1999-02-02,0.0089190153407063,1.1328,1.643,1261.98999,1261.98999,845500000,2463.42,9274.12
1999-02-03,0.0088920505068468,1.1339,1.6375,1272.069946,1272.069946,876500000,2493.41,9366.81
1999-02-04,0.0089261804873694,1.1306,1.6395,1248.48999,1248.48999,854400000,2410.07,9304.5
1999-02-05,0.0088386070355312,1.1283,1.637,1239.400024,1239.400024,872000000,2373.62,9304.24
1999-02-08,0.0087427872005595,1.1296,1.638,1243.77002,1243.77002,705400000,2404.92,9291.11
1999-02-09,0.0087397308162908,1.13,1.6355,1216.140015,1216.140015,736000000,2310.79,9133.03
1999-02-10,0.0087374399301004,1.1331,1.629,1223.550049,1223.550049,721400000,2309.50,9177.31
1999-02-11,0.00871839581517,1.1303,1.6244,1254.040039,1254.040039,815800000,2405.55,9363.46
1999-02-12,0.0087473757872638,1.1282,1.6311,1230.130005,1230.130005,691500000,2321.89,9274.89
1999-02-16,0.0084688346883468,1.1189,1.6317,1241.869995,1241.869995,653760000,2313.87,9297.03
1999-02-17,0.0084012433840208,1.123,1.6338,1224.030029,1224.030029,735100000,2248.91,9195.47
1999-02-18,0.0083458521115005,1.1223,1.6338,1237.280029,1237.280029,742400000,2260.55,9298.63
1999-02-19,0.0082644628099173,1.1075,1.6255,1239.219971,1239.219971,700000000,2283.60,9339.95
1999-02-22,0.0083090984628167,1.1037,1.6238,1272.140015,1272.140015,718500000,2342.01,9552.68
1999-02-23,0.008233841086867,1.0993,1.6138,1271.180054,1271.180054,781100000,2376.35,9544.42
1999-02-24,0.0082034454470877,1.0972,1.598,1253.410034,1253.410034,782000000,2339.38,9399.67
1999-02-25,0.0083850410867013,1.1068,1.606,1245.02002,1245.02002,740500000,2326.82,9366.34
1999-02-26,0.008424599831508,1.0995,1.6027,1238.329956,1238.329956,784600000,2288.03,9306.58
1999-03-01,0.0083479422322397,1.0891,1.6058,1236.160034,1236.160034,699500000,2295.18,9324.78
1999-03-02,0.0083008217813563,1.0931,1.6135,1225.5,1225.5,753600000,2259.03,9297.61
1999-03-03,0.0082182774490466,1.0888,1.6134,1227.699951,1227.699951,751700000,2265.20,9275.88
1999-03-04,0.0080971659919028,1.0824,1.6065,1246.640015,1246.640015,770900000,2292.89,9467.4
1999-03-05,0.008158603247124,1.0843,1.6073,1275.469971,1275.469971,834900000,2337.11,9736.08
1999-03-08,0.0082149018319231,1.0899,1.6085,1282.72998,1282.72998,714600000,2397.62,9727.61
1999-03-09,0.0082372322899505,1.0873,1.6148,1279.839966,1279.839966,803700000,2392.94,9693.76
1999-03-10,0.0083444592790387,1.0961,1.6267,1286.839966,1286.839966,841900000,2406.00,9772.84
1999-03-11,0.0083633018315631,1.0932,1.627,1297.680054,1297.680054,904800000,2412.25,9897.44
1999-03-12,0.0084040675687032,1.0936,1.6335,1294.589966,1294.589966,825800000,2381.53,9876.35
1999-03-15,0.0084961767204757,1.093,1.6223,1307.26001,1307.26001,727200000,2431.44,9958.77
1999-03-16,0.0084932903006624,1.0915,1.624,1306.380005,1306.380005,751900000,2439.27,9930.47
1999-03-17,0.0084638171815488,1.1015,1.6302,1297.819946,1297.819946,752300000,2428.97,9879.41
1999-03-18,0.0085084659235939,1.099,1.629,1316.550049,1316.550049,831000000,2462.96,9997.62
1999-03-19,0.008543357539513,1.0923,1.6303,1299.290039,1299.290039,914700000,2421.27,9903.55
1999-03-22,0.0084645336041984,1.0915,1.628,1297.01001,1297.01001,658200000,2395.94,9890.51
1999-03-23,0.008473140145738,1.0918,1.6372,1262.140015,1262.140015,811300000,2322.84,9671.83
1999-03-24,0.0085215168299957,1.0921,1.641,1268.589966,1268.589966,761900000,2365.28,9666.84
1999-03-25,0.0084709868699703,1.0871,1.6314,1289.98999,1289.98999,784200000,2434.80,9836.39
1999-03-26,0.0083125519534497,1.0743,1.6205,1282.800049,1282.800049,707200000,2419.17,9822.24
1999-03-29,0.0083486391718149,1.0716,1.614,1310.170044,1310.170044,747900000,2492.84,10006.78
1999-03-30,0.0083263946711074,1.0732,1.6115,1300.75,1300.75,729000000,2480.29,9913.26
1999-03-31,0.0084438064679557,1.0808,1.614,1286.369995,1286.369995,924300000,2461.40,9786.16
1999-04-01,0.0083201597470671,1.0782,1.6063,1293.719971,1293.719971,703000000,2493.37,9832.51
1999-04-05,0.0081967213114754,1.0706,1.6015,1321.119995,1321.119995,695800000,2560.06,10007.33
1999-04-06,0.0082822594003644,1.0838,1.592,1317.890015,1317.890015,787500000,2563.17,9963.49
1999-04-07,0.0082413054227789,1.0784,1.5975,1326.890015,1326.890015,816400000,2544.43,10085.31
1999-04-08,0.0082747207281754,1.0835,1.6083,1343.97998,1343.97998,850500000,2573.39,10197.7
1999-04-09,0.0082583202576595,1.0786,1.6068,1348.349976,1348.349976,716100000,2593.05,10173.84
1999-04-12,0.0083236224404861,1.0842,1.6127,1358.630005,1358.630005,810800000,2598.81,10339.51
1999-04-13,0.0083305564811729,1.078,1.6135,1349.819946,1349.819946,810900000,2583.50,10395.01
1999-04-14,0.0084111363445201,1.0779,1.6124,1328.439941,1328.439941,952000000,2507.28,10411.66
1999-04-15,0.0084005376344086,1.0717,1.6103,1322.849976,1322.849976,1089800000,2521.77,10462.72
1999-04-16,0.0084846427965382,1.0688,1.6112,1319.0,1319.0,1002300000,2484.04,10493.89
1999-04-19,0.0084752945164844,1.0608,1.6075,1289.47998,1289.47998,1214400000,2345.61,10440.53
1999-04-20,0.008461668641056,1.063,1.6135,1306.170044,1306.170044,985400000,2409.64,10448.55
1999-04-21,0.0083500334001336,1.0612,1.6074,1336.119995,1336.119995,920000000,2489.08,10581.42
1999-04-22,0.0083444592790387,1.0598,1.6117,1358.819946,1358.819946,927900000,2561.61,10727.18
1999-04-23,0.0083850410867013,1.0634,1.617,1356.849976,1356.849976,744900000,2590.69,10689.67
1999-04-26,0.0083941912196759,1.059,1.6113,1360.040039,1360.040039,712000000,2652.05,10718.59
1999-04-27,0.0083173916659735,1.0649,1.6177,1362.800049,1362.800049,891700000,2602.41,10831.71
1999-04-28,0.0083941912196759,1.0616,1.6148,1350.910034,1350.910034,951700000,2550.37,10845.45
1999-04-29,0.0083850410867013,1.0591,1.6105,1342.829956,1342.829956,1003600000,2528.44,10878.38
1999-04-30,0.0083731055848614,1.0564,1.6085,1335.180054,1335.180054,936500000,2542.85,10789.04
1999-05-03,0.0083236224404861,1.0571,1.6083,1354.630005,1354.630005,811400000,2535.58,11014.69
1999-05-04,0.0082685629237638,1.0593,1.621,1332.0,1332.0,933100000,2485.12,10886.11
1999-05-05,0.0082706145066578,1.0724,1.6337,1347.310059,1347.310059,913500000,2534.45,10955.41
1999-05-06,0.0082802020369297,1.0779,1.6377,1332.050049,1332.050049,875400000,2472.28,10946.82
1999-05-07,0.0082795164762377,1.0781,1.635,1345.0,1345.0,814900000,2503.62,11031.59
1999-05-10,0.0082863771958899,1.0787,1.63,1340.300049,1340.300049,773300000,2526.39,11007.25
1999-05-11,0.0082671957671957,1.072,1.6215,1355.609985,1355.609985,836100000,2566.68,11026.15
1999-05-12,0.0082740360747972,1.0666,1.6193,1364.0,1364.0,825500000,2606.54,11000.37
1999-05-13,0.0082189529053998,1.0626,1.619,1367.560059,1367.560059,796900000,2582.00,11107.19
1999-05-14,0.0081539465101108,1.065,1.6175,1337.800049,1337.800049,727800000,2527.86,10913.32
