,DATE,USD to JPY,USD to EUR,USD to GBP,Infl
98,1999-05-20,0.0080547724526782,1.063,1.6122,
99,1999-05-21,0.0080710250201775,1.0577,1.602,
100,1999-05-24,0.0080925791049607,1.0593,1.5978,
101,1999-05-25,0.0081380208333333,1.0587,1.6021,
102,1999-05-26,0.008194706219782,1.0471,1.5963,
103,1999-05-27,0.0082460625051537,1.0439,1.5957,
104,1999-05-28,0.0082726671078755,1.0422,1.602,
105,1999-05-31,,,,
106,1999-06-01,0.0082815734989648,1.0449,1.615,
107,1999-06-02,0.0082549116724451,1.0357,1.6075,
108,1999-06-03,0.0082304526748971,1.0355,1.6055,
109,1999-06-04,0.0081973932289531,1.0327,1.6074,
110,1999-06-07,0.0082433435001236,1.0296,1.601,
111,1999-06-08,0.0083416750083416,1.0438,1.605,
112,1999-06-09,0.0083892617449664,1.045,1.6001,
113,1999-06-10,0.0084139671855279,1.0477,1.6002,
114,1999-06-11,0.0084645336041984,1.0516,1.6085,
115,1999-06-14,0.0083056478405315,1.0416,1.6075,
116,1999-06-15,0.0082898118212716,1.042,1.595,
117,1999-06-16,0.0083312505207031,1.0298,1.5862,
118,1999-06-17,0.0083703021679082,1.0329,1.5925,
119,1999-06-18,0.0083001328021248,1.0368,1.5924,
120,1999-06-21,0.0081779522407589,1.0323,1.589,
121,1999-06-22,0.0082182774490466,1.0323,1.5895,
122,1999-06-23,0.0081933633756657,1.0316,1.5787,
123,1999-06-24,0.0082081589099564,1.0372,1.5833,
124,1999-06-25,0.0082453825857519,1.0448,1.5893,
125,1999-06-28,0.0082440230832646,1.0373,1.5822,
126,1999-06-29,0.0082774604751262,1.0337,1.5781,
127,1999-06-30,0.0082685629237638,1.031,1.5765,
128,1999-07-01,0.0082651458798247,1.0236,1.5765,72.191
129,1999-07-02,0.0082555931643688,1.0244,1.5792,
130,1999-07-05,,,,
131,1999-07-06,0.0082007544694111,1.0249,1.5688,
132,1999-07-07,0.0081839757754317,1.0224,1.5602,
133,1999-07-08,0.008158603247124,1.0198,1.5577,
134,1999-07-09,0.0081719375663969,1.0186,1.5515,
135,1999-07-12,0.0081819669448535,1.0139,1.5558,
136,1999-07-13,0.0082385895534684,1.0176,1.5566,
137,1999-07-14,0.0082932492950738,1.0215,1.5635,
138,1999-07-15,0.0082994439372562,1.022,1.5665,
139,1999-07-16,0.0082658290626549,1.0203,1.5622,
140,1999-07-19,0.0083906695754321,1.0203,1.563,
141,1999-07-20,0.0084076004708256,1.042,1.57,
142,1999-07-21,0.0084566596194503,1.0526,1.5766,
143,1999-07-22,0.0085273300929478,1.0509,1.5835,
144,1999-07-23,0.0085829542528538,1.0497,1.578,
145,1999-07-26,0.0085719183953368,1.0651,1.5905,
